Time [s], Distance [m]
65.689358, 4.175646
65.743824, 4.175646
65.788875, 4.175646
65.846847, 4.175646
65.939973, 4.016961
65.988994, 4.016961
66.042208, 3.986909
66.090931, 3.986909
66.139252, 3.986909
66.188854, 3.986909
66.238973, 3.808614
66.290278, 3.808614
66.339128, 3.808614
66.407657, 3.808614
66.489115, 3.801170
66.539012, 3.801170
66.589850, 3.801170
66.688931, 3.708380
66.741991, 3.708380
66.796341, 3.519269
66.851511, 3.519269
66.899712, 3.519269
66.938812, 3.519269
66.988857, 3.503458
67.039677, 3.503458
67.089844, 3.503458
67.139927, 3.503458
67.189203, 3.429379
67.238993, 3.429379
67.292363, 3.429379
67.339266, 3.429379
67.492274, 3.336337
67.539062, 3.336337
67.589444, 3.241637
67.639483, 3.241637
67.690342, 3.241637
67.838833, 3.083127
67.890254, 3.083127
67.941419, 3.083127
67.999724, 3.052729
68.039452, 3.052729
68.088988, 3.052729
68.189691, 2.884678
68.245093, 2.884678
68.289964, 2.884678
68.341633, 2.861731
68.395532, 2.861731
68.439013, 2.861731
68.488897, 2.861731
68.538856, 2.861731
68.640562, 2.692662
68.690645, 2.692662
68.741703, 2.669934
68.789876, 2.669934
68.839118, 2.669934
68.889025, 2.669934
68.988960, 2.511190
69.038950, 2.511190
69.088982, 2.511190
69.188849, 2.480423
69.238826, 2.480423
69.289311, 2.480423
69.339804, 2.480423
69.388863, 2.480423
69.440910, 2.386105
69.489347, 2.386105
69.539880, 2.386105
69.591638, 2.386105
69.689206, 2.292046
69.741174, 2.292046
69.792206, 2.292046
69.839002, 2.100016
69.888979, 2.100016
69.941757, 2.100016
69.989259, 2.100016
70.138857, 2.101015
70.188911, 2.101015
70.238896, 2.005990
70.289105, 2.005990
70.342821, 2.005990
70.395867, 1.910321
70.439809, 1.910321
70.495883, 1.910321
70.539323, 1.910321
70.591083, 1.910321
70.642255, 1.815022
70.689569, 1.815022
70.739078, 1.815022
70.796207, 1.719084
70.840620, 1.719084
70.888996, 1.719084
70.939358, 1.719084
71.091385, 1.624543
71.138941, 1.624543
71.189097, 1.624543
71.238945, 1.624543
71.339011, 1.455369
71.389938, 1.455369
71.444072, 1.455369
71.591519, 1.360059
71.640853, 1.360059
71.692477, 1.240046
71.739663, 1.240046
71.788862, 1.240046
71.840390, 1.240046
71.939000, 1.169152
71.991356, 1.169152
72.089337, 1.145000
72.138941, 1.145000
72.241065, 0.980234
72.290091, 0.980234
72.391907, 0.887820
72.441569, 0.887820
72.490393, 0.864417
72.539261, 0.864417
72.589128, 0.864417
72.638840, 0.864417
72.692192, 0.864417
72.740695, 0.772685
72.790099, 0.772685
72.839399, 0.772685
72.943649, 0.682974
72.988853, 0.682974
73.039420, 0.682974
73.096538, 0.596125
73.139500, 0.596125
73.188921, 0.596125
73.238962, 0.596125
73.339133, 0.513517
73.565271, 0.436689
73.616183, 0.436689
73.715804, 0.341974
73.766547, 0.341974
73.816207, 0.341974
73.866832, 0.325650
73.920724, 0.325650
73.965456, 0.325650
74.015724, 0.325650
74.067660, 0.303200
74.115775, 0.303200
74.170300, 0.303200
74.215858, 0.303200
74.268512, 0.338541
74.316259, 0.338541
74.371873, 0.338541
74.466212, 0.372840
74.515458, 0.372840
74.565622, 0.382498
74.615731, 0.382498
74.665475, 0.382498
74.715566, 0.382498
74.768409, 0.443898
74.817697, 0.443898
74.866602, 0.443898
74.915488, 0.443898
75.020096, 0.514480
75.066283, 0.514480
75.115422, 0.514480
75.268931, 0.591632
75.316803, 0.591632
75.365871, 0.591632
75.465980, 0.671863
75.518226, 0.671863
75.566737, 0.756116
75.616584, 0.756116
75.666763, 0.756116
75.716445, 0.846265
75.765887, 0.846265
75.817625, 0.846265
75.870048, 0.846265
75.915761, 0.846265
75.969502, 0.941915
76.019855, 0.941915
76.065718, 0.941915
76.116594, 0.941915
76.168238, 1.039556
76.216991, 1.039556
76.265598, 1.039556
76.317275, 1.138044
76.365513, 1.138044
76.416267, 1.138044
76.465504, 1.138044
76.617377, 1.313099
76.666579, 1.313099
76.715497, 1.336660
76.766421, 1.336660
76.817696, 1.336660
76.869085, 1.336660
76.916887, 1.523276
76.965955, 1.523276
77.017436, 1.523276
77.066153, 1.523276
77.115576, 1.635101
77.165490, 1.635101
77.216440, 1.635101
77.316025, 1.709970
